Numero de département;Numéro agrément/Approval number;SIRET;Raison SOCIALE - Enseigne commerciale/Name;Adresse/Adress;Code postal/Postal code;Commune/Town;Catégorie/Category;Activités associées/Associated activities;Espèce/Specy
01;01.004.002;8678020200031;CENTRE VIANDES BEAUVALLET FILS;659 AV LEON BLUM;01500;AMBERIEU-EN-BUGEY;CS;I(CP);
01;01.033.002;37784209100029;VALSERINE FROMAGERIE;10 12 10 AV PAUL LANGEVIN BP 335;01200;VALSERHONE;CS;;
01;01.047.001;33398522400018;S P I;ALL ZI PLAINE DE L'AIN PARC INDUSTRIEL DE LA PLAINE DE L'AIN;01150;BLYES;RW;;
01;01.053.002;77554381200025;AIN SAONE ET LOIRE TRANSPORTS;25 AV ARSENE D ARSONVAL;01000;BOURG-EN-BRESSE;CS;;
01;01.053.003;33197998900042;ABATTOIRS DES CRETS;3 RUE JOSEPH JACQUARD CS 48203;01008;BOURG-EN-BRESSE;CS;;
01;01.053.005;30121321100040;FRANCE SELECT - VOLAILLES DE L'EUROPEAIN;ZI NORD RUE JOSEPH JACQUARD ZI NORD;01000;BOURG-EN-BRESSE;CS;"II(CP);V(MP)";
01;01.053.018;34513051201913;GENEDIS - PROMOCASH AVEC VOUS;ZONE INDUSTRIELLE NORD 39 AVENUE DE MARBOZ;01000;BOURG-EN-BRESSE;CS;;
01;01.074.003;39155659400011;MIFROMA FRANCE;ROUTE DE PONT D AIN;01320;CHALAMONT;"CS;RW";;
01;01.074.005;33889585700013;AGRITRANS;RTE DE PONT D AIN;01320;CHALAMONT;CS;;
01;01.127.001;82193733100014;SCEA DES BRESSANS;217 CHEMIN DES BRESSANS;01370;COURMANGOUX;RW;;
01;01.231.002;31722063000063;LABORATOIRES PYC;ZONE ARTISANALE DE LAVY;01570;MANZIAT;RW;;
01;01.266.001;31140355400018;AU CHAPON BRESSAN ;L'HUPPE LD L HUPPE BP 8235;01340;MONTREVEL-EN-BRESSE;CS;"II(CP);II(SH)";
01;01.320.003;49067581600022;STEF TRANSPORT MACON;ZONE MACON EST ZA MACON EST ZONE MACON EST;01750;REPLONGES;CS;;
01;01.320.071;30580148200137;PANALOG;LES SALINS;01750;REPLONGES;CS;;
01;01.322.001;51408083700172;ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL;ZONE INDUSTRIELLE DE REYRIEUX 51 RUE DES COMMUNAUX ETS BASE DE REYRIEUX ZI DE REYRIEUX;01600;REYRIEUX;CS;;
01;01.334.002;51254908000012;SLIMPACK;487 ROUTE DU VILLAGE;01290;SAINT-ANDRE-D'HUIRIAT;RW;;
01;01.336.001;76120001300016;BELL FRANCE;450 RUE DE LA MAIRIE ;01960;SAINT-ANDRE-SUR-VIEUX-JONC;WM;VI(PP);
01;01.350.001;37793722200067;SOFRILOG SUD EST;LA BERGADERIE;01370;SAINT-ETIENNE-DU-BOIS;CS;;
01;01.350.002;31300224800034;BRESSE FONTE;150 CHE DE LA ZONE D'ACTIVITES ;01370;SAINT-ETIENNE-DU-BOIS;CS;;
01;01.390.001;34329419500239;LACTALIS LOGISTIQUE - ETS LACTALIS LOGISTIQUE;PARC LA PLAINE DE L AIN 1800 AVENUE GUY DE LA VERPILLIERE;01150;SAINT-VULBAS;CS;;
01;01.390.002;55382046500761;SOFRILOG;PARC INDUSTRIEL DE LA PLAINE DE L AIN 580 AVENUE DES BERGERIES;01150;SAINT-VULBAS;CS;;
01;01.405.003;50308898100017;SARL J. A. MICHON - LE PERE MICHON;LA FRETAZ;01960;SERVAS;CS;IX(PP);
01;01.443.003;45060988800018;AXE FROID;ZONE INDUSTRIELLE DE;01330;VILLARS-LES-DOMBES;CS;;
01;01.443.009;45060988800018;AXE FROID;ZONE INDUSTRIELLE DE;01330;VILLARS-LES-DOMBES;CS;;
01;01.451.004;39931561300568;METRO FRANCE;55 RUE FARDAY 55 LA CHAMBIERE 55 RUE FARDAY;01440;VIRIAT;CS;;
02;02.340.002;39931561300584;METRO FRANCE;ZONE INDUSTRIELLE LE ROYEU RUE EUGENE FREYSSINET ZONE INDUSTRIELLE LE ROYEU;02430;GAUCHY;CS;"I(CP);VIII(WM)";
02;02.360.002;30466955900029;ETABLISSEMENTS DENIS ET COMPAGNIE;LIEU DIT L HOMME MORT 11 RUE DE LA MIETTE LIEU DIT L HOMME MORT;02190;VILLENEUVE SUR AISNE;CS;"I(CP);V(MP)";
02;02.387.001;50089072800032;STEF LOGISTIQUE NORD - STEF;1 RUE DE LA GARE;02240;ITANCOURT;CS;;
02;02.502.002;33578046600058;SA MARCHAND;RUE DE LA SUCRERIE BP 23;02340;MONTCORNET;CS;;
02;02.549.001;31770460900021;CARLIER - CARL'GARAGE;8 RUE DE SAINT QUENTIN ;02100;NEUVILLE-SAINT-AMAND;CS;;
03;03.013.022;40212863100023;SARL SOGEPAT - SOGEPAT;ZA LES PETITS VERNATS RUE HERMANN GEBAUER;03000;AVERMES;CS;;
03;03.094.002;45056863900014;SOCIETE LAITIERE DE VICHY;Z I VICHY RHUE;03300;CREUZIER-LE-VIEUX;CS;IX(PP);
03;03.094.007;35049939800047;CONVIVIAL;ZI DE VICHY-RHUE ZI VICHY-RHUE;03300;CREUZIER-LE-VIEUX;CS;"I(CP);VI(PP);V(MM);V(MP)";
03;03.095.028;50269742800030;K 2 M;ZAC DES GRAVANCHES 16 RUE JEAN BONNET;03300;CUSSET;CS;;
03;03.101.002;95752685800866;TOUPARGEL - Etablissement sans enseigne;ZONE INDUSTRIELLE DE CHATEAUGAY AV AMBROISE CROIZAT ZI DE CHATEAUGAY;03410;DOMERAT;CS;;
03;03.118.009;41458528100028;TRANS FROID AUVERGNE;LES PRES LIATS ;03800;GANNAT;CS;;
03;03.138.014;50879026800017;TVE LOGISTIQUE;ZI DE BELLEVUE ZI DE BELLEVUE ZI DE BELLEVUE;03120;LAPALISSE;CS;;
03;03.185.030;49993217600013;MATELY - PROMOCASH AVEC VOUS;ZONE INDUSTRIELLE DE BLANZAT 31 RUE EUGENE SUE;03100;MONTLUCON;CS;;
03;03.186.003;50879026800025;TVE LOGISTIQUE;ZONE INDUSTRIELLE DE MONTMARAULT ROUTE DE MOULINS ZI DE MONTMARAULT;03390;MONTMARAULT;CS;;
03;03.190.002;33296202600016;FRIGORIFIQUES DE MOULINS;1 RUE TAGUIN;03000;MOULINS;CS;;
03;03.236.001;43290861400022;ARRIVE AUVERGNE;ZI LE COQUET;03260;SAINT-GERMAIN-DES-FOSSES;CS;"II(CP);II(SH)";
03;03.298.030;38074500000022;SALESKY AUVERGNE;LA FEUILLOUSE ;03150;VARENNES-SUR-ALLIER;CS;;
03;03.315.001;50851378500164;SOCOPA VIANDES;RTE DE COSNE;03430;VILLEFRANCHE-D'ALLIER;CS;"I(CP);I(SH);VIII(FFPP);VI(PP);V(MM);V(MP)";
03;03.321.009;33810722000018;SCACENTRE;10 RUE COLBERT ;03400;YZEURE;CS;;
03;03.321.011;43392733200265;TRANSGOURMET OPERATIONS - TRANSGOURMET;ZONE INDUSTRIELLE 8 RUE JACQUES COEUR BP 73;03402;YZEURE;CS;;
04;04.001.007;35335269300033;SARL CHARCUTERIE DE THOARD - BOUCHERIE CHARCUTERIE SPECIALITES;ZONE D'ACTIVITE ECONOMIQUE ESPACE BLEO 22 AV PAUL DELAYE;04510;AIGLUN;WM;"I(CP);VI(PP)";
04;04.049.040;31680701500623;SYSCO FRANCE SAS;ZONE ARTISANALE ZONE ARTISANALE RUE LOUISE MICHEL;04160;CHATEAU-ARNOUX-SAINT-AUBAN;CS;;
04;04.070.040;39883422600035;MONTEL DISTRIBUTION;LA TOUR SAINT CHRISTOPHE;04000;DIGNE-LES-BAINS;CS;;
04;04.111.001;82994994000011;SAS DUFOUR;ZA PITAUGIER;04300;MANE;CS;"I(CP);VI(PP);V(MP)";
04;04.111.040;40437546100039;OLIVIERS ET CO;ZONE ARTISANALE DE PITAUGIER;04300;MANE;CS;;
